Stop ID,Neighborhood,Station Name,Line,canTransfer,Latitude,Longitude,Express
70,Brighton,West 8th St - New York Aquarium,Q,TRUE,40.576127,-73.975939,local
71,Broadway,23rd St,R,TRUE,40.741303,-73.989344,local
72,Broadway,23rd St,W,TRUE,40.741303,-73.989344,local
73,Broadway,28th St,R,TRUE,40.745494,-73.988691,local
74,Broadway,28th St,W,TRUE,40.745494,-73.988691,local
75,Broadway,34th St - Herald Square,B,TRUE,40.749567,-73.98795,express
76,Broadway,34th St - Herald Square,D,TRUE,40.749567,-73.98795,express
77,Broadway,34th St - Herald Square,F,TRUE,40.749567,-73.98795,local
78,Broadway,34th St - Herald Square,M,TRUE,40.749567,-73.98795,local
79,Broadway,34th St - Herald Square,N,TRUE,40.749567,-73.98795,express
80,Broadway,34th St - Herald Square,Q,TRUE,40.749567,-73.98795,express
81,Broadway,34th St - Herald Square,R,TRUE,40.749567,-73.98795,local
82,Broadway,34th St - Herald Square,W,TRUE,40.749567,-73.98795,local
83,Broadway,49th St,N,TRUE,40.759901,-73.984139,express
84,Broadway,49th St,R,TRUE,40.759901,-73.984139,local
85,Broadway,49th St,W,TRUE,40.759901,-73.984139,local
86,Broadway,57th St - 7th Av,N,TRUE,40.764664,-73.980658,express
87,Broadway,57th St - 7th Av,Q,TRUE,40.764664,-73.980658,express
88,Broadway,57th St - 7th Av,R,TRUE,40.764664,-73.980658,local
89,Broadway,57th St - 7th Av,W,TRUE,40.764664,-73.980658,local
90,Broadway,5th Av - 59 St,N,TRUE,40.764811,-73.973347,express
91,Broadway,5th Av - 59 St,R,TRUE,40.764811,-73.973347,local
92,Broadway,5th Av - 59 St,W,TRUE,40.764811,-73.973347,local
93,Broadway,8th St - NYU,R,TRUE,40.730328,-73.992629,local
94,Broadway,8th St - NYU,W,TRUE,40.730328,-73.992629,local
95,Broadway,Canal St,J,TRUE,40.719527,-74.001775,local
96,Broadway,Canal St,N,TRUE,40.719527,-74.001775,express
97,Broadway,Canal St,Q,TRUE,40.719527,-74.001775,express
98,Broadway,Canal St,R,TRUE,40.719527,-74.001775,local
99,Broadway,Canal St,W,TRUE,40.719527,-74.001775,local
100,Broadway,Canal St,Z,TRUE,40.719527,-74.001775,express
101,Broadway,Canal St,6,TRUE,40.719527,-74.001775,local
102,Broadway,City Hall,R,TRUE,40.713282,-74.006978,local
103,Broadway,Cortlandt St,R,TRUE,40.710668,-74.011029,local
104,Broadway,Cortlandt St,W,TRUE,40.710668,-74.011029,local
105,Broadway,Jay St - Metrotech,A,TRUE,40.69218,-73.985942,express
106,Broadway,Jay St - Metrotech,C,TRUE,40.69218,-73.985942,local
107,Broadway,Jay St - Metrotech,F,TRUE,40.69218,-73.985942,local
108,Broadway,Jay St - Metrotech,R,TRUE,40.69218,-73.985942,local
109,Broadway,Lexington Av - 59th St,N,TRUE,40.76266,-73.967258,express
110,Broadway,Lexington Av - 59th St,R,TRUE,40.76266,-73.967258,local
111,Broadway,Lexington Av - 59th St,W,TRUE,40.76266,-73.967258,local
112,Broadway,59th St,4,TRUE,40.76266,-73.967258,express
113,Broadway,59th St,5,TRUE,40.76266,-73.967258,express
114,Broadway,59th St,6,TRUE,40.76266,-73.967258,local
115,Broadway,Prince St,W,TRUE,40.724329,-73.997702,local
116,Broadway,Prince St,R,TRUE,40.724329,-73.997702,local
117,Broadway,Rector St,R,TRUE,40.70722,-74.013342,local
118,Broadway,Rector St,W,TRUE,40.70722,-74.013342,local
119,Broadway,42nd St - Port Authority Bus Terminal,A,TRUE,40.754672,-73.986754,express
